,title,price,available_date,listdate,link,location,Location:,contact,description,page_views,Available:,Furnishings:,Ideal tenants:,In the area:,Parking:,Property ID#:,Smoke alarm:,bathrooms,bedrooms
97,264E Grounsell Crescent,320,Available Thu 23 Feb,"Listed Tue, 17 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1243556999.htm,"Belmont, Lower Hutt","264E Grounsell Crescent
Belmont
Lower Hutt
Wellington",Jeff Dorresteyn,"2 bedroom townhouse with 1 bathroom.Newly painted and recarpeted throughout. This property is now in excellent condition with a fresh look about it!  This property offers:* Large living area with easy access to the kitchen and private back yard.  There is also plenty of storage in this area* Tidy kitchen with electric oven provided* 2x large bedrooms both with built in wardrobes* 1x bathroom with a shower over the bath and nicely tiled floors.  There is also a seperate toilet downstairs.* Seperate laundry with easy access to the washing line* 1x carport space provided and off street parking also available* On bus route* Located at the bottom of the Belmont hill To book in to see this property, please email us below Suitable for up to 4 tenants.No pets or smokers.Agency reference #: AFH1651",3416,Thu 23 Feb,Washing machine and fridge/fre­ezer provided,,"Close to public transport services, Lower Hutt shopping centre",1x carport/ carpark provided,FCW911,,1,2
98,20 Bay Drive,350,Available Tue 31 Jan,"Listed Tue, 17 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1243526109.htm,"Titahi Bay, Porirua","20 Bay Drive
Titahi Bay
Porirua
Wellington",Madeleine van Rooyen,"2 bedroom apartment with 1 bathroom.Please book  through Viewing Tracker, we are unfortunately not able to keep up with the volume of calls during this extremely busy timeThe beach is almost on your doorstep, just a short stroll away. This lovely 2 bedroom apartment has open plan living that flows outdoors to a deck, bathroom and laundry combined and garage with internal accessSuitable for up to 2 tenants.No pets or smokers.Agency reference #: Bay",4048,Tue 31 Jan,unfurnishe­d,references required,,parking for 1 vehicle,FCW752,,1,2
99,9 Elder Grove,300,Available Fri 3 Feb,"Listed Mon, 16 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1242969387.htm,"Paraparaumu, Kapiti Coast","9 Elder Grove
Paraparaumu
Kapiti Coast
Wellington",Joanne Saunders,"2 bedroom unit with 1 bathroom.OPEN VIEWING CANCELLED2 bedroom unit.  Kitchen, laundry, dining/lounge combined, conservatory.  bathroom with shower and bath.  Private back garden with shed.No dogsPlease email or call for viewing time and tenancy application form.Agency reference #: Eld 9",3636,Fri 3 Feb,,,,,FCV863,,1,2
100,Waitangirua,320,Available Tue 7 Feb,"Listed Mon, 16 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1242846155.htm,"Waitangirua, Porirua","Waitangirua
Porirua
Wellington",Geoff Miller,"4 bedroom house with 1 bathroom.Waihora Cresent.Four bedroom home, lounge/dining, separate kitchen, medium sized garden. Close to public transport. Good sun and off street parkingNo pets or smokers.Agency reference #: AAN1215",5344,Tue 7 Feb,,,,,,,1,4
101,22 Hawker Street,190,Available Sat 11 Feb,"Listed Fri, 13 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257562349.htm,"Mount Victoria, Wellington","22 Hawker Street
Mount Victoria
Wellington
Wellington",,1 bedroom unit with 1 bathroom.Character refurbished hostel room. Polished native timber floors. Free Wi Fi and power included in rent.FOR ONE OCCUPANT ONLY. SMOKING NOT PERMITTED INSIDE & ON THE GROUNDS OF THE PREMISES.APPLICANTS MUST BE NON - SMOKERS.PETS ARE NOT PERMITTED AT TIMES.Suitable for one tenant.No pets or smokers.,0227,Sat 11 Feb,"Use of kitchen,la­undry and two bathrooms    faciliti­es","compatible with present long term tenants.
References required.",Court /Place &amp; supermarket 5 mins walk.  Oriental Bay &amp; Basin reserve 10 mins walk.,On street,FCU007,Yes,1,1
102,124 Willis Street,200,Available Wed 8 Feb,"Listed Fri, 13 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258395239.htm,"Wellington Central, Wellington","124 Willis Street
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.Affordable accommodation is available at the Hotel St George, a great option for out-of-town workers, students or travelers who plan on a lengthy stay in the capital. These furnished one bedroom rooms have a communal bathroom on the same floor.Rent includes power, hot water and heating as well as security card access and 24 hour CCTV.There is a common area kitchen, dining room and large lounge with Sky TV and pool tables. A coin operated laundry is onsite. Reception support from 8am till 5.30pm.Wireless high-speed internet available.$30 - 20GB, $40 – 40GB, $50 – 60GB, $60 – 80GB.Visit our website for more information.www.hotelstgeorge.co.nzPlease call today to arrange a viewing on 0800 784 367.Suitable for one tenant.No pets or smokers.Agency reference #: STG 200-2a",0009,Wed 8 Feb,Furnished,Single Person,Everything­. Located in City Centre,,FCU005,,1,1
103,124 Willis Street,260,Available Wed 8 Feb,"Listed Fri, 13 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258395348.htm,"Wellington Central, Wellington","124 Willis Street
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.Affordable accommodation is available at the Hotel St George, a great option for out-of-town workers, students or travelers who plan on a lengthy stay in the Capital. These furnished rooms have an en suite bathroom and are available either with a single bed, double bed or two single beds. Rent includes power, hot water and heating as well as security card access and 24 hour CCTV.There is a common area kitchen, dining room and large lounge with Sky TV and pool tables. A coin operated laundry is onsite. Reception support from 8am till 5.30pm.Wireless high-speed internet available.$30 - 20GB, $40 – 40GB, $50 – 60GB, $60 – 80GB.Visit our website for more information.www.hotelstgeorge.co.nzPlease call today to arrange a viewing on 0800 784 367.Suitable for up to 2 tenants.Smokers OK, no petsAgency reference #: STG 260-1a",0008,Wed 8 Feb,Furnished,"Single, Twin or Couple
(one tenant is $250 p/w; two tenants $280 p/w)",Everything­. Located in City Centre,Call Prime Parking for options 0800 774 637,FCU003,,1,1
104,124 Willis Street,200,Available Wed 8 Feb,"Listed Fri, 13 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258395461.htm,"Wellington Central, Wellington","124 Willis Street
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.Affordable accommodation is available at the Hotel St George, a great option for out-of-town workers, students or travelers who plan on a lengthy stay in the capital. These furnished one bedroom rooms have a communal bathroom on the same floor.Rent includes power, hot water and heating as well as security card access and 24 hour CCTV.There is a common area kitchen, dining room and large lounge with Sky TV and pool tables. A coin operated laundry is onsite. Reception support from 8am till 5.30pm.Wireless high-speed internet available.$30 - 20GB, $40 – 40GB, $50 – 60GB, $60 – 80GB.Visit our website for more information.www.hotelstgeorge.co.nzPlease call today to arrange a viewing on 0800 784 367.Suitable for one tenant.No pets or smokers.Agency reference #: STG 200-1a",0011,Wed 8 Feb,Furnished,Single Person,Everything­. Located in City Centre,Call Prime Parking for options 0800 774 637,FCT999,,1,1
105,17 Kinloch Place,320,Available Fri 20 Jan,"Listed Thu, 12 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1240393294.htm,"Papakowhai, Porirua","17 Kinloch Place
Papakowhai
Porirua
Wellington",Reception,"2 bedroom unit with 1 bathroom.Features of this sunny, downstairs two bedroom flat include:* spacious open living areas* neutral decor throughout* 2 double bedrooms* private, sunny deck, harbour views* heat pump* off street parking* sunshine* location, quiet street in PapakowhaiPlease note access to the flat is located down the drive please do not knock at the house above.  Also note there is no laundry in the flat at present, by arrangement a laundry can be made available in the upstairs flat at no extra cost. There is a Laundromat for use in Porirua.To view please book through VIEWING TRACK on Trade Me or call 04 233 2442 Ext 1.Suitable for up to 3 tenants.No pets or smokers.Agency reference #: WB120291",4649,Fri 20 Jan,Oven   Heat Pump,,,Not Specified,,,1,2
106,16b Normanby St,330,Available Mon 20 Feb,"Listed Tue, 10 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258150936.htm,"Newtown, Wellington","16b Normanby St
Newtown
Wellington
Wellington",,"1 bedroom house with 1 bathroom.A charming flat in an excellent location. Great for single or couple. Renovated with new kitchen.Whiteware includes fridge/freezer, Oven and a shared washing machine. ** The first viewing for this property is Wednesday 8th Feb at 7pm, Please come along and email the advertiser below to let me know you will be there **Suitable for up to 2 tenants.No pets or smokers.",0086,Mon 20 Feb,"Fridge / Freezer , Shared Washing machine.",Profession­al or mature student couple or single,Newtown shops a short walk away,On Street Only,FCR488,Yes,1,1
107,3/116 Hataitai Road,310,Available Sat 4 Mar,"Listed Tue, 10 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1238996971.htm,"Hataitai, Wellington","3/116 Hataitai Road
Hataitai
Wellington
Wellington",Reception,"2 bedroom apartment with 1 bathroom.This lovely double bedroom flat is located in popular Hataitai. It boasts polished floors and the grounds are maintained. The  property gets good afternoon sun and is handy to bus transport and all amenities. To book a viewing of this property; click on the Viewing Tracker box, or go to www.quinovickt.viewingtracker.com (please copy and paste the link).Note that you must pre-book to attend a viewing as numbers are limited for each appointment. The property may be occupied so please do not go on the property without the viewing agent.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: KT110473",4668,Sat 4 Mar,"Electric oven, electric hobs, washing machine.",,,(None),FCR081,,1,2
108,1002a/170 Taranaki Street,335,Available Wed 15 Feb,"Listed Thu, 5 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1235910990.htm,"Te Aro, Wellington","1002a/170 Taranaki Street
Te Aro
Wellington
Wellington",Awhina Karawana,"1 bedroom apartment with 1 bathroom.Furnished studio apartment in the Peak Apartments on Taranaki St.  The Peak consists of 54 one bedroom apartments and 54 studio apartments. There are only 6 studios and 6 apartments on each floor. This studio apartment is located on level 10.    Washing machine/dryer, fridge, electric hobs, oven and extractor fan are in the apartment. Furnishings including double bed and TV etc and kitchenware is also provided.  The apartment is very close to Courtenay Place and city life.  A nicely presented studio apartment and well worth a look.  No pets, no smoking, semi- furnished, power is included in the rent, internet is not included in the rent.  Maximum 2 occupants  No parking available with this apartment. To make an enquiry or to book an appointment, simply click on the Viewing Tracker link and follow the promptsSuitable for up to 2 tenants.No pets or smokers.Agency reference #: OXY7206",2138,Wed 15 Feb,As per attached list,,,Not available,FCM827,,1,1
109,806a/170 Taranaki Street,340,Available Sun 12 Feb,"Listed Wed, 4 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1235206503.htm,"Te Aro, Wellington","806a/170 Taranaki Street
Te Aro
Wellington
Wellington",Sandra Crews,"1 bedroom apartment with 1 bathroom.**This is a Studio Apartment, there is no separate bedroom****Furnished studio apartment in great location.   Close to Cuba Street and Courtenay Place and city amenities.Open plan kitchen/dining/sleeping area.  TV, full whiteware, bed, vacuum cleaner and heater available.  Secure apartment living.   Modern facilities, a deck looking out over Taranaki St.Please note the photos are similar to existing flat.To book a viewing time for this property please use the Viewing Tracker link above, or go to www.niceplace.viewingtracker.comSuitable for up to 2 tenants.No pets or smokers.Agency reference #: the Peaks",2340,Sun 12 Feb,"TV, microwave, dishwasher­, fridge/fre­ezer, washing machine/dr­yer, bed, vacuum, heater",clean and tidy,"Cafes, bars, library, city amenities","No parking in building.  Restricted parking see www.wcc.go
vt.nz/park
ing",FCL966,No,1,1
110,100B Grafton Road (Downstairs),310,Available Sat 18 Feb,"Listed Tue, 3 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1234813572.htm,"Roseneath, Wellington","100B Grafton Road (Downstairs)
Roseneath
Wellington
Wellington",Reception,"1 bedroom unit with 1 bathroom.** CALL EITHER 027 5499 100 OR  (04) 499 0100 TO SCHEDULE A VIEWING **Situated in Grafton Road, this studio unit would suit either a single person or a couple just starting out. There is an alcove off the living area which can be used as a bedroom or study.  This property enjoys fabulous sea views and all day sun, is only 10 mins to the city and has a bus stop right outside.  The bathroom and kitchen are separate. Heat pump, bar fridge and small freezer, and benchtop hotplate are included with the property. On street parking available. Enquire via viewing tracker or call our office on 027 5499 100 or 04 4990100.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: LQ110494",4406,Sat 18 Feb,"Small Bar Fridge/Fre­ezer, Benchtop Stove and Heat Pump",,,Not Specified,,,1,1
111,2/51 Admas Terrace,350,Available Fri 10 Feb,"Listed Tue, 3 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1252192094.htm,"Kelburn, Wellington","2/51 Admas Terrace
Kelburn
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.Tidy and clean one bed room apartment Seperate living room, kitchen and bedroomRecently refurbished and furnished with all essential furniture and white wareGood day light and Close to Vic UniversityAn easy walk to bus stop and city centreGreat for someone seeking a quiet space Fixed one year agreement Open Home:12:00    Jan 14th   (Saturday)    2017Other viewing time could be arranged, please feel free to text me on 0276232218Suitable for up to 2 tenants.No pets or smokers.",0393,Fri 10 Feb,"Double bed, dinning table and chair, stove, microwave, fridge, washing machine and dryer",Profession­al couple or mature students,"Victoria University­, Te Aro Village, kindergart­en , rec center, bus stop",off street parking,FCL337,Yes,1,1
112,303 Warspite Avenue,350,Available Wed 8 Feb,"Listed Fri, 23 Dec",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1228245527.htm,"Waitangirua, Porirua","303 Warspite Avenue
Waitangirua
Porirua
Wellington",Karen McCrea,"3 bedroom house with 1 bathroom.Please register your interest through viewing tracker with best day and time to view.To view this property you must book in at www.ascent.viewingtracker.com  (please copy & paste this link)..This is a 2 storey duplex with 3 bedrooms and 1 bathroom.Downstairs is kitchen, dining and lounge with a separate laundry.Upstairs is 3 double bedrooms, bathroom and separate toilet.  All bedrooms have wardrobes.Ceiling and under floor insulationOff street parking and handy to local amenities.This property is currently getting maintenance and paintwork done on exterior and has had fresh paintwork inside.All our properties are drug tested to be clean from meth contamination at start and end of each tenancyBond: $1400.00  (4 weeks)Letting fee $350.00First week rent in advance  $350.00Total move in cost $ 2100.00To view this property you must book in at www.ascent.viewingtracker.com  (please copy & paste this link)..Please be aware that the letting fee and one week rent in advance needs to be paid to secure the property and we removed from Trade Me.Suitable for up to 5 tenants.No pets or smokers.Agency reference #: ASN2068",2417,Wed 8 Feb,,,,,,,1,3
113,134 Britomart Street,160,Available Tue 7 Feb,"Listed Wed, 21 Dec",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257501599.htm,"Berhampore, Wellington","134 Britomart Street
Berhampore
Wellington
Wellington",,"1 bedroom house with 5 bathrooms.The old Berhampore hospital has been renovated into a 42 room boarding house.  There are two large kitchens and living areas with televisions, couches and dining tables. The shared bathroom and toilet facilities are spacious and located throughout the house.There are single and double rooms and rooms with ensuites, all private and furnished with beds, drawers, mirrors and hand basins. Rooms range from 160.00 to 190.00 per week for a standard rooms which includes power, basic internet and access to coin operated washing and drying facilities.This property is close to the bus route, and Berhampore Village.Please contact Bev the house manager on 0274893668 or bevgosson@xtra.co.nz for a viewing.No pets or smokers.",0151,Tue 7 Feb,"Bed, drawers, mirror, bedside cabinet, coin operated washing machine and dryers,","Easy going, friendly natured people.","This property is close to the bus route,  walking distance to some shops and takeaway restaurant­s.",,FCH535,Yes,5,1
114,312/142 Vivian Street,300,Available Fri 16 Dec,"Listed Fri, 16 Dec",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1223661589.htm,"Wellington Central, Wellington","312/142 Vivian Street
Wellington Central
Wellington
Wellington",Property Management Team Property Management Team,"1 bedroom house with 1 bathroom.FULLY FURNISHED STUDIO APARTMENT  Centrally located in the Duel On Vivian apartments on Vivian Street. Featuring, open plan bedroom, separate bathroom and laundry. The perfect solution as a city base.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: WEL291",5732,Fri 16 Dec,,,,,,,1,1
115,23 Dorset Grove,330,Available Tue 7 Feb,"Listed Fri, 9 Dec",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1250362628.htm,"Porirua, Porirua","23 Dorset Grove
Porirua
Wellington",Lynette Anquetil,"3 bedroom house with 1 bathroom.Three bedroom stand alone home in DorsetRecently painted throughout, with new kitchenSeparate laundry and toiletOpen plan kitchen, dining and loungeOff street parking situated on a large sunny sectionAdded bonus of child's fortSituated on a back sectionSuitable for up to 4 tenants.No pets or smokers.Agency reference #: Dorset",2983,Tue 7 Feb,,References required,"Schools, bus route      Walking distance to  North City and rail",Off Street,FBZ520,Yes,1,3
116,142 Vivian Street appt. 212,320,Available Fri 10 Feb,"Listed Thu, 8 Dec",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1218192155.htm,"Wellington Central, Wellington","142 Vivian Street appt. 212
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.Furnished studio, west facing for afternoon and evening sun.  Secure location and limited views to the west. Small F/F, washing machine/dryer and dishwasher included. Continuous hot water is included in the weekly rent.To book a viewing of this property click on the Viewing Tracker box, or go to www.quinovicjohnsonville.viewingtracker.com (please copy and paste the link). Note that you must pre book to attend a viewing as numbers are limited for each appointment. The property may be occupied so please do not go on the property without the viewing agent.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: JV120275",4571,Fri 10 Feb,"Dishwasher­, Fridge/Fre­ezer, washing machine/dr­yer.",,,Not Specified,FBY471,,1,1
117,317 Wellington Road,310,Available Wed 1 Feb,"Listed Tue, 6 Dec",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1253686379.htm,"Wainuiomata, Lower Hutt","317 Wellington Road
Wainuiomata
Lower Hutt
Wellington",Tihan Roos,"2 bedroom unit with 1 bathroom.Newly renovated 2 bedroom unit, on bus route, close to daycare, schools and shops, new kitchen, new bathroom, new carpet and vinyl. On flat fully fenced section. *****FOR AN APPOINTMENT TO VIEW*****Please visit our website www.sre-ltd.biz, click on ""Rentals"" then ""New Tenants Register Online Here"" and complete the registration form. Don't forget to mention this property in the ""Notes"" box of the registration form.Suitable for up to 3 tenants.No pets or smokers.",0741,Wed 1 Feb,,,"Schools, parks, shops, etc.",Off street,FBW293,Yes,1,2
118,74 Marine Parade,310,Available Thu 29 Dec,"Listed Fri, 2 Dec",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1214202389.htm,"Otaki Beach, Kapiti Coast","74 Marine Parade
Otaki Beach
Kapiti Coast
Wellington",Joanne Saunders,"3 bedroom house with 1 bathroom.Three bedroom home with single garage.Main bedroom with wardrobe and two single bedrooms.  Open plan living with kitchen dining and lounge area with heat pump,  Separate laundry.  Bathroom with bath separate shower vanity and toilet. Single garage available.Water rates included.Fully fenced walking distance to beach, dairy and restaurant.Good references essentialPlease email or ring to arrange a viewing.Agency reference #: Mar74",4867,Thu 29 Dec,,,,,FBT683,,1,3
119,241/217 The Terrace,300,Available Fri 6 Jan,"Listed Fri, 2 Dec",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1214087742.htm,"Wellington Central, Wellington","241/217 The Terrace
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.This STUDIO apartment is in a secure building in the heart of the city, just a short walk to the city, Parliament.   It comes furnished. Nice views over the city. Rent includes power Suitable for one tenant.No pets or smokers.Agency reference #: TN130205",4704,Fri 6 Jan,"Washer Dryer, fidge/free­zer, microwave",,,Not Specified,,,1,1
120,124 Willis Street,220,Available Wed 8 Feb,"Listed Tue, 22 Nov",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258396690.htm,"Wellington Central, Wellington","124 Willis Street
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.Affordable accommodation is available at the Hotel St George, a great option for out-of-town workers, students or travelers who plan on a lengthy stay in the capital. These furnished rooms have an adjacent twin share bathroom.  Choice of rooms from $220 to $240 per week.Rent includes power, hot water and heating as well as security card access and 24 hour CCTV.There is a common area kitchen, dining room and large lounge with Sky TV and pool tables. A coin operated laundry is onsite. Reception support from 8am till 5.30pm.Wireless high-speed internet available.$30 - 20GB, $40 – 40GB, $50 – 60GB, $60 – 80GB.Visit our website for more information.www.hotelstgeorge.co.nzSuitable for one tenant.No pets or smokers.Agency reference #: STG 220-2a",0007,Wed 8 Feb,Furnished,Single person,Everything­. Located in City Centre,Call Prime Parking for options 0800 774 637,FBI952,,1,1
121,124 Willis Street,260,Available Wed 8 Feb,"Listed Tue, 22 Nov",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258395682.htm,"Wellington Central, Wellington","124 Willis Street
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.Affordable accommodation is available at the Hotel St George, a great option for out-of-town workers, students or travelers who plan on a lengthy stay in the Capital. These furnished rooms have an en suite bathroom and are available either with a single bed, double bed or two single beds. Rent includes power, hot water and heating as well as security card access and 24 hour CCTV.There is a common area kitchen, dining room and large lounge with Sky TV and pool tables. A coin operated laundry is onsite. Reception support from 8am till 5.30pm.Wireless high-speed internet available.$30 - 20GB, $40 – 40GB, $50 – 60GB, $60 – 80GB.Visit our website for more information.www.hotelstgeorge.co.nzPlease call today to arrange a viewing on 0800 784 367.Suitable for up to 2 tenants.Smokers OK, no petsAgency reference #: STG 260-2a",0009,Wed 8 Feb,Furnished,"Single, Twin or Couple
(one tenant is $250 p/w; two tenants $280 p/w)",Everything­. Located in City Centre,,FBI951,,1,1
122,509/35 Abel Smith Street,330,Available Mon 16 Jan,"Listed Sun, 28 Aug",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1151239017.htm,"Te Aro, Wellington","509/35 Abel Smith Street
Te Aro
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.REDUCED RENT! READY TO MOVE IN NOW! CALL TO VIEW!!!!Right in the corner of Cuba Street & Abel Smith Street-close to everything!Ideally I am looking for a male/female or a couple who are professionals and will look after the property and maintain it well. The studio is a self contained unit with cooking facilities - two hobs, dishwasher, iron, ironing boards, toaster and pretty much comes fully furnished with a microwave, fridge, double bed, double sofa bed 32 inch smart Samsung TV with  limited Sky channels and lot more. washing and drying on the same floor. There is a dishwasher at the moment but can be replaced with oven if preferred by the tenant. The unit is on the 5th floor with lot of morning sun and an amazing view of the city. Swipe card access, very secured.  Two lifts. Structurally sound after earthquake and no interior damages.Power on prepaid and can be purchased for $20 or $50 at a time. Prepaid is lot cheaper. Wifi can be purchased from IAC hotspot.  Power or wifi not included in the rent.  Sky, free local calls are included in the rent.  Washing costs $3 and drying $4 in the coin operated machine on the same floor.Viewing by arrangements only.Ask me if you have any further questions. Thanks for your interest. Suitable for up to 2 tenants.No pets or smokers.",12469,Mon 16 Jan,"Smart TV, Double Bed,  double sofa bed,  sky,Microw­ave, fridge- Fully furnished.",Profession­ls who is house trained,"All that Cuba street has to offer. Victoria university­,  Massey Uni, wellington High",Nearby coupon or metered parking.  Long term parking on Marion St. 300 m,EYD902,Yes,1,1
123,Park Rd,350,Available Mon 6 Feb,"Listed Wed, 8 Jun",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1224100876.htm,"Belmont, Lower Hutt","Park Rd
Belmont
Lower Hutt
Wellington",Paul,"2 bedroom unit with 1 bathroom.Well present 2 bedroom flat with wood paneling and comes with a fenced yard and off street parking.Has a fridge, a washing machine and a microwave.Handy to local shops, services and amenities.References please.For an appointment to view go to www.homeads.co.nz and enter ID number: 49146 Letting fee appliesJust Realty Ltd - HomeAdsLicensed Agent (REAA 2008)Suitable for up to 2 tenants.No pets or smokers.Agency reference #: 49146",3524,Mon 6 Feb,Unfurnishe­d,,,Off street parking,EVM844,,1,2
124,Henderson Street,330,Available Thu 29 Dec,"Listed Tue, 7 Jun",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1231483168.htm,"Karori, Wellington","Henderson Street
Karori
Wellington
Wellington",,"2 bedroom apartment with 1 bathroom.2 bedrooms flat with bathroom, kitchen and lounge$330 for one person and $360 for two. three weeks bond, NO letting fee!Rents INCLUDES Power, Broadbandsmoking outside only.Suitable for up to 4 tenants.No pets or smokers.",2715,Thu 29 Dec,"Bed, wardrobe, washing machine, fridge, microwave and all kitchenwar­e provided.",Profession­al people or students (friendly and clean),"5 minutes walking distance to karori shopping mall, bus stop.",Plenty off street parking on flat ground (no tricky driveways ...),EVK772,,1,2
125,124 Willis Street,220,Available Wed 8 Feb,"Listed Tue, 8 Sep",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258396801.htm,"Wellington Central, Wellington","124 Willis Street
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.Affordable accommodation is available at the Hotel St George, a great option for out-of-town workers, students or travelers who plan on a lengthy stay in the capital. These furnished rooms have an adjacent twin share bathroom.  Choice of rooms available from $220 to $240 per week.Rent includes power, hot water and heating as well as security card access and 24 hour CCTV.There is a common area kitchen, dining room and large lounge with Sky TV and pool tables. A coin operated laundry is onsite. Reception support from 8am till 5.30pm.Wireless high-speed internet available.$30 - 20GB, $40 – 40GB, $50 – 60GB, $60 – 80GB.Visit our website for more information.www.hotelstgeorge.co.nzSuitable for one tenant.No pets or smokers.Agency reference #: STG 220-1a",0012,Wed 8 Feb,Furnished,Single person,Everything­. Located in City Centre,Call Prime Parking for options 0800 774 637,ELC660,,1,1
126,363 Willis Street,350,Available Wed 8 Feb,"Listed Sun, 26 Apr",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258396220.htm,"Te Aro, Wellington","363 Willis Street
Te Aro
Wellington
Wellington",please email stay@capitalaccommodation.co.nz,"1 bedroom unit with 1 bathroom.Capital Accommodation Wellington is a unique complex offering 87 comfortable 25m2 studio units.Stay from 7 days up to 3 months for $350 per week.Longer leases also available;3-12 months $300 pw.+12 months $280 pw.The studio includes a double size bed (Some have two single beds), ensuite bathroom and kitchenette with under bench fridge, toaster, kettle and microwave.Rent includes power - NO POWER BILLThere is a shared common kitchen and dining area for cooking and a onsite laundry. Capital Accommodation is conveniently located in the City with transport, universities and shops near by.Email to enquire about availability or look at our website www.capitalaccommodation.co.nzSuitable for up to 2 tenants.Smokers OK, no petsAgency reference #: CAP 350-1",0011,Wed 8 Feb,"Double bed (some with two singles), drawers, study desk/table and chairs, wardrobe and bedside table",Profession­al or student,"Transport, shops, mini-mart, city",$50 per week extra - enquire about availabili­ty.,EGR519,,1,1
127,363 Willis Street,300,Available Wed 8 Feb,"Listed Wed, 22 Apr",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258395879.htm,"Te Aro, Wellington","363 Willis Street
Te Aro
Wellington
Wellington",Please email stay@capitalaccommodation.co.nz,"1 bedroom unit with 1 bathroom.Capital Accommodation Wellington is a unique complex offering 87 comfortable 25m2 studio units.Stay from 3 - 12 months for $300 per week.Other leasing terms also available;7 days - 3 months $350 pw.+12 months $280 pw.The studio includes a double size bed (Some have two single beds), ensuite bathroom and kitchenette with under bench fridge, toaster, kettle and microwave.Rent includes power - NO POWER BILLThere is a shared common kitchen and dining area for cooking and a onsite laundry. Capital Accommodation is conveniently located in the City with transport, universities and shops near by.Email to enquire about availability or look at our website www.capitalaccommodation.co.nz Suitable for up to 2 tenants.Smokers OK, no petsAgency reference #: CAP 300-1",0007,Wed 8 Feb,"Double bed (some with two singles), drawers, study desk/table and chairs, wardrobe and bedside table",Profession­al or student,"Transport, shops, mini-mart, city",$50 per week extra - enquire about availabili­ty.,EGN559,Yes,1,1
